Name,Address,Section,Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10,HW 1,HW 2,HW 3,HW 4,HW 5,HW 6,HW 7,HW 8,HW 9,HW 10,HW 11,HW 12,Project 1,Project 2,Exam 1,Exam 2,Exam 3
"Szoka, Lilia","287 Larch St, Morocco IN, 47963",6,89.4,58.2,42.0,100,100,51.9,64.9,100,,51.5,76.1,100,98.3,97.6,58.8,92.7,99.3,47.2,51.0,100,64.5,95.1,88.8,88.0,93.8,91.6,75.1
"Curet, Normandy","819 Butte Pl, Stanley IA, 50671",8,86.4,92.5,69.0,44.1,54.9,77.4,86.6,54.5,65.8,83.3,95.3,64.4,46.0,92.2,41.4,85.7,98.8,79.9,98.7,100,62.3,83.1,57.3,83.8,73.4,64.4,80.1
"Lemay, Anicia","519 Hazelwood Ave, Pigeon MI, 48755",2,85.0,80.1,83.0,100,39.7,78.6,100,46.5,85.7,100,51.7,84.4,66.7,100,74.5,74.0,76.8,70.2,73.5,100,100,78.0,100,68.1,100,88.7,81.0
"Naegeli, Odyssey","132 Sansome St, Benson AZ, 85602",5,84.0,94.3,96.2,76.2,78.6,80.6,53.5,75.9,53.8,64.4,52.9,100,84.1,74.0,94.2,54.0,100,77.3,81.9,64.9,57.1,100,100,49.9,82.3,71.1,42.5
"Farrel, Sr., Aleen","211 44th Ave, Savannah GA, 31409",1,86.3,87.4,90.6,90.3,81.5,84.9,52.1,47.5,58.5,93.3,86.8,83.1,87.4,74.5,80.1,100,80.2,62.8,77.5,81.3,100,100,73.3,91.7,92.3,92.3,100
"Almaguer, Jazmin","812 Progress St, Turner MT, 59542",4,70.3,89.9,90.9,100,100,57.6,81.0,81.9,100,83.3,48.6,65.8,100,100,85.3,77.3,100,60.4,100,30.1,50.7,90.2,100,80.9,65.0,36.0,100
"Kalafarski, Sr., Stormie","623 South Gate Rd, Four Lakes WA, 99014",5,100,65.5,90.1,68.0,73.3,74.2,46.0,100,49.1,33.6,,96.1,100,85.4,50.4,80.0,79.6,76.9,70.7,30.6,63.1,79.7,100,53.5,87.3,100,90.8
"Piascik, Christyne","145 Bowman Ct, Apt. 44, Orange TX, 77631",4,65.9,41.3,91.6,100,39.9,76.0,83.8,67.8,100,34.3,51.7,58.2,54.6,95.0,90.6,100,90.8,100,29.1,100,83.4,91.6,100,51.7,69.5,100,94.8
"Fremin, Canaan","896 Laidley St, Inverness MT, 59530",2,48.3,70.0,52.0,85.6,100,66.6,46.7,48.2,29.1,100,93.0,93.2,89.4,100,100,86.7,95.5,53.5,69.9,91.2,89.8,74.0,55.6,100,100,100,64.6
"Shutes, Sr., Jamilee","485 San Bruno Av On Ramp, Bridgeton NJ, 8302",6,49.2,100,98.9,63.5,60.2,71.7,40.9,64.8,71.4,72.5,100,99.4,59.3,48.4,73.3,55.6,100,51.5,56.5,100,,100,80.6,44.1,100,100,82.9
"Wallington, Celina","536 Robinson St, Nantucket MA, 2584",4,80.0,92.6,47.0,100,43.5,68.4,46.3,82.4,79.9,52.0,73.5,57.1,100,71.3,37.7,89.0,94.7,69.3,75.4,92.6,72.8,79.4,60.1,94.7,89.3,77.4,60.3
"Filipponi, Herby","637 Crown Ter, Dobbins CA, 95935",9,56.1,68.6,100,72.3,54.5,95.0,51.5,71.8,79.6,81.5,79.7,48.9,100,100,65.9,72.1,73.0,36.7,44.7,100,81.1,61.8,49.8,78.0,77.8,86.9,100
"Coster, Franki","339 Wyton Ln, Sidney MT, 59270",4,89.3,41.2,90.2,68.9,58.7,100,40.8,79.2,93.4,93.9,68.0,64.2,80.6,84.1,72.6,78.6,87.7,89.7,68.8,69.3,76.4,84.4,71.1,96.5,75.6,82.4,53.7
"Recher, Journey","430 Cambon Dr, Apt. 61, Waltonville IL, 62894",3,100,100,100,58.6,100,50.9,65.9,91.3,100,72.6,79.4,89.7,75.5,67.1,92.0,100,79.8,35.8,95.9,100,36.1,89.3,60.5,87.3,95.1,82.6,80.4
"Hamn, Lenamarie","154 17th Ave, Bulger PA, 15019",4,45.1,100,79.8,71.4,89.0,98.1,38.1,26.0,63.4,68.9,100,99.0,100,97.6,70.8,87.9,100,100,55.6,63.5,,83.9,90.1,52.0,67.3,91.7,87.0
"Prang, Jacqeline","287 Sparta St, Larose LA, 70373",6,100,40.1,65.6,67.7,80.9,63.3,49.5,84.6,36.2,60.1,74.3,88.1,100,100,83.4,100,72.1,38.2,50.6,100,55.3,59.3,89.5,20.6,64.2,100,81.3
"Smallen, III, Allyn","552 Steuart Ln, Apt. 53, Gatesville TX, 76597",1,51.6,68.1,58.5,26.5,100,100,83.3,45.8,68.2,81.0,56.2,71.5,53.1,99.7,64.6,81.3,49.1,73.9,73.9,100,100,100,100,45.4,99.1,17.8,86.8
"Fini, Bethaney","604 Winthrop St, Witter Springs CA, 95493",1,100,86.2,34.5,14.1,97.9,25.3,58.6,76.5,21.6,68.1,76.3,95.6,89.6,52.1,81.3,55.1,58.9,59.8,-3.0,100,89.3,95.7,39.0,1.7,98.7,100,100
"Guererro, Brandonn","651 Patton St, Wittman MD, 21676",2,61.5,72.4,13.0,75.1,77.6,79.5,71.7,60.5,77.2,79.4,51.0,63.9,87.9,34.8,100,77.3,,90.0,100,96.3,77.5,69.1,67.4,100,81.5,100,38.2
"Swalley, Bibi","594 Patten Rd, Oak Bluffs MA, 2557",8,97.2,74.6,57.0,84.0,71.9,29.2,65.9,75.8,50.9,35.6,72.6,100,77.7,61.4,48.3,46.0,56.7,88.6,93.1,100,73.3,90.4,53.0,100,100,100,51.3
"Elliston, Pieter","113 Ina Ct, Hornick IA, 51026",8,70.5,75.9,29.8,96.5,40.7,100,38.1,100,76.7,43.9,78.3,43.4,54.7,86.0,77.1,52.2,68.4,82.5,82.3,73.8,83.7,86.0,57.3,77.5,76.6,77.6,60.3
"Matley, Darrell","694 Allen St, Palo IA, 52324",9,79.9,63.8,42.4,97.9,97.4,66.9,60.5,47.4,65.2,72.8,100,57.4,72.3,59.1,70.1,71.2,73.2,80.7,80.1,100,100,100,75.3,100,100.0,81.6,69.3
"Cassone, Yosef","113 Merritt St, Titus AL, 36080",8,73.8,40.2,98.9,86.3,56.7,100,77.0,94.4,77.0,52.0,71.7,100,36.5,85.7,42.2,93.4,48.7,100,68.3,70.4,28.2,100,34.9,96.7,64.3,63.4,100
"Durnil, Doray","442 Lottie Bennett Ln, Lutz FL, 33549",3,100,64.8,67.8,48.5,71.1,100,67.7,61.1,89.3,100,54.7,72.6,78.8,72.0,42.6,62.2,72.8,100,81.3,50.5,39.6,84.8,85.4,39.5,56.8,91.6,100
"Morua, Shanicka","513 Michigan St, Lancaster CA, 93536",5,44.4,45.9,68.5,48.0,91.4,43.3,87.3,54.6,98.8,62.5,44.0,76.2,56.3,100,47.8,66.2,100,100,64.2,69.9,100,57.9,58.2,32.3,64.3,100,90.4
"Larive, Jamara","630 Blanche St, Tiller OR, 97484",10,100,100,33.6,41.4,95.3,69.2,55.0,94.9,39.6,100,86.5,3.3,61.0,97.5,75.5,85.3,77.8,82.1,29.5,70.1,61.3,82.8,78.4,68.5,78.3,87.3,89.0
"Eskew, Jr., Orry","487 Galvez Ave, Bonney Lake WA, 98391",2,81.9,44.1,87.4,72.3,68.5,100,95.9,40.1,56.9,75.6,78.2,91.1,77.6,68.0,57.6,54.1,100,74.3,72.7,100,82.7,93.3,49.1,41.5,33.9,51.5,51.6
"Gardenas, Lauro","713 Paul Ave, Albany NY, 12236",1,75.1,70.3,99.3,79.3,84.6,57.9,90.9,100,96.1,68.6,100,74.6,57.3,67.6,100,91.6,82.9,49.2,100,82.5,57.0,100,78.1,64.1,81.3,53.7,26.6
"Pugel, Graylin","513 Felton St, Brewster NE, 68821",3,93.0,62.8,68.8,84.1,62.2,68.1,93.0,80.6,80.6,50.7,100,84.9,45.2,100,62.0,77.9,75.4,38.5,74.9,73.4,100,100,81.1,67.9,70.0,74.5,19.0
"Tille, Venise","681 Mount Vernon Ave, Hagarstown IL, 62247",4,93.5,71.3,79.9,96.4,48.4,100,49.6,44.7,100,59.8,100,26.5,76.2,85.8,83.5,94.5,67.2,31.1,95.9,98.5,96.7,100,52.3,67.5,100.0,43.9,100
"Scrimsher, Mallisa","515 Cassandra Ct, Prescott AZ, 86302",10,100,100,52.9,100,85.9,100,100,60.3,83.1,62.3,55.6,24.1,43.3,100,55.2,100,55.8,56.1,100,100,81.0,58.0,81.0,70.6,87.6,100,58.5
"Harman, Larina","534 Ord Ct, Apt. 43, Fairfax VA, 22032",6,97.6,68.6,44.0,98.5,85.2,43.2,52.5,48.4,100,67.1,100,85.5,100,33.2,90.7,100,50.7,70.8,88.1,77.9,46.9,58.9,95.7,33.6,83.9,29.3,50.8
"Derosia, Brittane","268 Vicksburg St, Hopewell OH, 43746",5,61.6,81.2,68.4,54.5,72.8,100,37.5,76.3,56.8,13.4,100,100,82.7,100,83.3,84.4,81.4,96.1,100,16.7,100,58.8,80.2,40.5,78.2,100,58.2
"Kilgo, Baudelio","697 Unnamed 084, Hartford CT, 6154",5,68.3,100,34.3,64.9,70.4,100,76.9,81.8,72.2,46.0,79.0,60.5,88.6,100,33.5,100,100,56.8,71.8,84.1,100,69.5,68.5,35.8,68.4,70.9,59.1
"Southwood, Stevon","43 Cortland Ave, Washington DC, 20511",7,81.6,81.6,100,16.3,63.6,88.4,72.4,52.6,55.9,51.5,75.1,38.7,74.5,81.4,79.3,47.5,42.5,81.8,77.4,100,73.3,70.9,81.1,28.0,100,100,100
"Yengo, Jamilla","862 Unnamed 037, Brighton MA, 2135",7,100,100,50.3,56.2,83.1,78.8,65.3,56.0,68.6,64.0,86.9,58.9,65.1,100,40.3,100,51.0,6.8,81.6,100,76.4,78.1,74.5,39.6,83.3,78.1,98.9
"Montanaro, Lyzette","71 Easement, Osterville MA, 2655",2,96.9,100,62.7,71.4,61.1,88.2,76.0,88.9,62.2,65.2,78.1,52.8,100,71.7,55.2,83.2,99.5,48.8,63.5,88.8,69.6,100,94.8,24.9,100,80.4,91.9
"Eschenbacher, Delroy","131 Blake St, Hagerhill KY, 41222",1,100,70.7,86.0,83.3,69.7,49.5,79.2,19.0,95.7,26.0,34.8,48.7,83.2,78.2,91.8,95.0,95.7,53.1,97.6,87.4,59.3,70.0,65.5,65.0,56.4,100,38.5
"Bleininger, Darcy","819 Stanford Heights Ave, Hialeah FL, 33015",8,83.0,84.6,61.0,81.7,77.8,27.7,70.8,69.1,97.5,78.0,22.1,100,71.7,57.0,82.8,100,86.2,92.9,65.6,95.0,73.6,73.3,76.7,80.9,81.1,56.8,93.2
"Corrales, Melaney","243 Zampa Ln, Macon GA, 31220",9,91.2,41.8,92.9,58.4,50.2,100,66.2,87.6,70.6,91.0,68.1,90.3,91.3,59.3,74.9,100,97.0,68.3,71.5,96.8,,86.4,40.1,74.7,71.5,81.9,100
"Brislin, Jasmen","553 Executive Park Blvd, Springfield IL, 62756",10,100,54.0,100,56.9,60.3,62.3,72.0,82.6,66.3,85.4,57.2,100,100,91.0,65.3,42.9,61.0,34.5,80.2,56.2,49.7,94.3,48.6,63.4,100,65.9,61.5
"Dyrstad, Kalil","639 Quane St, Council Grove KS, 66846",4,44.5,61.0,69.5,82.1,66.2,93.7,67.2,,87.4,88.1,34.1,71.8,51.4,92.5,88.1,99.6,99.1,42.2,100,99.3,70.8,100,60.3,43.6,79.4,100,65.4
"Schilk, Jaymes","176 Brussels St, High Island TX, 77623",2,61.1,46.5,50.2,95.8,87.8,91.2,88.0,54.7,33.6,92.7,77.0,43.3,77.5,86.1,38.3,66.4,100,22.8,64.6,91.9,79.3,76.3,64.6,79.1,86.9,100,100
"Czerwinski, Chanette","678 Cashmere St, Springfield IL, 62708",8,90.1,21.8,62.9,85.2,100,79.5,76.5,61.3,94.7,100,100,93.1,36.7,-4.9,76.8,64.7,52.8,81.3,100,61.2,93.6,66.0,28.2,100,86.2,37.3,43.3
"Gerardi, Liani","682 Pelton Pl, Chicago IL, 60699",6,38.6,91.0,100,95.7,100,99.6,78.1,55.7,47.6,44.7,60.0,93.0,60.5,100,100,58.3,58.8,62.9,89.1,13.7,37.6,45.0,46.5,45.4,76.7,98.4,96.2
"Najera, Tarik","693 John St, Normal AL, 35762",3,75.2,46.1,69.7,83.6,88.7,80.3,68.9,26.4,92.4,62.1,69.7,90.4,56.7,64.3,63.9,69.1,88.3,100,100,-0.9,100,86.1,91.1,31.7,100,94.4,63.0
"Wenskoski, Breonna","482 Commer Ct, Dennehotso AZ, 86535",10,81.9,81.9,84.2,89.2,89.7,64.7,100,100,97.4,98.3,35.7,72.1,87.3,97.3,39.9,59.6,45.5,41.5,73.2,100,76.4,100,82.4,64.2,100,67.9,100
"Orantes, Jesus","269 Ord Ct, Huntington WV, 25717",2,94.6,62.5,100,73.7,61.0,100,49.2,84.9,95.7,69.3,78.3,89.2,58.4,100,100,22.4,79.3,57.5,44.4,100,59.8,100,52.9,44.5,100,50.0,95.3
"Wisz, Naquan","896 Perego Ter, Riddleton TN, 37151",2,70.6,90.6,74.3,98.3,64.2,70.4,100,68.5,96.8,78.1,97.9,78.8,55.3,100,46.1,86.1,65.9,100,100,52.2,100,100,67.5,100,68.3,100,45.3
"Morefield, Merry","210 Francis St, Beachwood OH, 44122",4,11.8,47.3,84.1,29.3,69.0,68.7,62.1,84.1,65.5,77.4,41.1,76.2,93.5,90.2,35.4,75.4,81.8,77.5,90.1,100,85.8,80.1,45.0,63.8,94.1,93.2,100
"Austad, Jillene","730 Culebra Ter, Chicago IL, 60628",3,82.6,59.0,51.4,72.9,44.5,100,97.9,93.6,67.4,66.7,32.2,64.6,100,100,96.7,64.4,91.2,55.1,70.2,51.0,96.8,8.6,65.5,78.5,100,60.0,68.6
"Triggs, Vaughan","124 Dichiera Ct, Bethany LA, 71007",6,100,81.1,97.3,94.0,59.7,61.3,74.7,85.3,78.8,34.3,70.5,100,59.4,88.0,100,96.1,73.3,74.3,67.2,84.9,96.8,39.2,85.4,85.0,86.5,99.3,52.8
"Burbine, Foua","568 Underwood Ave, Mapleton MN, 56065",3,96.9,73.1,75.5,96.9,100,69.7,89.5,70.9,60.3,84.2,79.6,87.6,100,75.8,61.7,71.7,100,36.1,99.7,30.1,80.5,100,100,69.1,50.1,90.9,73.7
"Benyard, Jr., Janeka","661 Park Blvd, Apt. 31, Malden MA, 2148",9,82.7,14.2,36.7,45.8,7.3,88.2,99.2,100,100,47.3,99.3,100,100,100,75.2,100,15.3,100,25.6,81.4,56.4,77.8,50.8,100,100,53.8,75.5
"Pangborn, IV, Olabode","289 Coralino Ln, Apt. 13, Fenton LA, 70640",3,95.4,81.9,67.4,100,43.6,61.1,67.9,100,72.9,100,45.6,80.1,100,74.0,73.0,97.2,100,73.9,50.8,70.0,72.4,97.9,74.4,84.3,93.9,98.4,83.0
"Depetris, III, Kirk","435 Wilde Ave, Dana NC, 28724",3,37.7,80.8,100,71.2,100,95.5,76.7,42.1,46.6,44.2,100,54.5,59.7,72.6,47.0,100,80.9,80.2,71.0,77.7,100,100,53.0,58.4,84.4,93.7,56.6
"Batteiger, Geary","256 Edward St, Apo AE, 9094",4,81.4,58.5,85.5,48.7,49.7,92.6,67.3,100,93.6,97.6,25.2,65.5,100,50.5,65.7,35.0,77.1,60.6,73.4,100,54.1,60.8,69.3,46.5,100,55.3,65.7
"Conneely, Judson","870 Delano Ave, Louisville KY, 40283",9,61.9,100,48.5,58.5,98.9,60.8,85.7,74.3,100,98.6,90.1,88.6,73.5,79.1,100,73.0,100,62.5,100,85.9,57.5,69.7,76.7,79.7,53.0,100,100
"Radlinski, Foster","541 Via Ferlinghetti, Acme WA, 98220",5,79.8,73.6,56.6,100,100,84.5,43.1,91.7,28.4,71.2,56.8,78.1,100,30.7,66.6,66.9,83.3,100,38.7,69.5,100,88.8,31.2,56.2,87.6,100,100
"Sarra, Sr., Kester","635 31st Ave, Moreland GA, 30259",8,98.5,27.2,5.0,30.2,48.9,41.7,78.7,73.7,71.7,60.6,76.0,65.6,17.3,76.1,55.6,100,70.0,76.4,71.0,85.5,95.6,100,90.5,92.3,72.3,72.4,70.7
"Moncus, Olabode","371 Loma Vista Ter, Etna WY, 83118",2,80.4,52.2,61.1,76.2,66.8,100,96.8,62.1,37.9,82.1,100,64.2,10.3,77.3,99.3,92.2,97.2,55.2,52.1,79.1,97.7,86.1,100,71.1,95.0,100,38.1
"Mcquirk, Kindal","403 Hillview Ct, Harlan IA, 51593",3,63.0,55.5,57.1,100,100,28.3,62.6,56.4,86.3,70.9,64.2,72.0,100,55.2,60.3,88.3,52.7,56.9,99.3,57.8,35.9,84.2,49.0,100,54.0,87.5,86.4
"Matthey, Latiya","708 Paramount Ter, Albert KS, 67511",5,36.7,85.2,63.9,80.6,100,12.9,97.6,43.6,80.5,91.5,100,49.9,45.9,83.4,80.5,28.3,89.7,59.6,65.1,80.4,87.1,98.8,51.3,85.8,73.8,100,56.4
"Holdeman, IV, Jermond","400 Apollo St, Marble Canyon AZ, 86036",8,100,28.4,100,79.6,77.5,94.6,78.8,55.7,78.1,100,40.7,66.2,62.7,55.8,64.9,99.4,100,39.6,100,55.7,69.4,89.5,100,70.0,100,73.2,86.8
"Cahee, Hasani","535 Bird St, Apo AE, 9810",7,44.4,84.4,100,86.5,53.6,79.1,40.3,74.9,100,70.8,47.0,91.3,77.7,63.0,32.3,61.8,100,88.1,97.3,92.7,68.8,75.4,44.1,53.6,81.8,71.8,73.9
"Donatello, Joannie","456 Worth St, Orwell VT, 5760",9,67.7,100.0,100,100,84.8,89.0,97.9,90.8,100,21.3,68.9,79.6,80.8,100,70.3,100,100,60.2,36.4,51.5,88.7,100,70.0,33.7,98.7,100,89.5
"Koberg, Jazzmen","27 Ervine St, Dietrich ID, 83324",8,28.6,90.7,70.0,100,62.0,54.9,44.5,89.4,55.4,52.1,67.6,61.7,52.7,51.0,70.9,46.2,68.7,100,98.0,95.4,60.5,68.6,100,57.5,93.0,92.6,54.7
"Kubota, Dijon","688 Dorcas Way, Apt. 15, Fresno CA, 93722",5,82.2,60.0,53.9,68.5,100,26.9,50.3,42.8,100,83.3,39.6,90.5,87.1,74.3,100,50.7,83.0,100,95.9,100,64.9,100,34.3,50.2,100,76.4,100
"Skaggs, Vassilios","599 Moore Pl, Piney Woods MS, 39148",2,75.8,56.5,100,61.7,53.7,54.6,100,86.1,100,74.6,71.5,100,84.7,100,84.1,96.8,80.9,75.4,77.3,79.7,100,87.0,96.8,66.8,36.2,97.7,61.7
"Ossman, Lanea","633 Wallace Ave, Kalamazoo MI, 49008",10,100,70.5,49.1,67.4,60.2,77.4,99.8,100,59.4,62.6,100,33.5,87.2,55.1,99.7,33.2,79.0,100,100,100,48.2,100,100,45.2,100,100,69.0
"Zanardi, Hollye","281 Argonaut Ave, Thousand Island Park NY, 13692",9,,100,77.8,82.6,88.1,69.3,62.7,35.9,93.5,67.7,99.3,95.3,86.4,49.5,100,87.7,78.1,91.3,100,14.1,48.2,43.0,96.2,55.6,100,84.7,68.7
"Mccathran, IV, Marshal","216 Gibbon Ct, New Orleans LA, 70149",5,45.2,100,100,45.2,82.5,100,81.3,75.2,69.7,81.5,76.8,33.4,81.8,63.1,76.6,87.3,100,47.9,71.7,70.3,71.7,76.8,99.6,30.5,89.0,88.6,71.5
"Degross, Ciarra","649 Felix Ave, Eatonton GA, 31024",9,86.4,100,52.3,66.4,46.9,77.2,79.8,37.9,100,18.9,100,83.8,94.0,58.5,97.7,100,62.0,64.4,62.4,44.7,72.8,58.6,95.6,100,92.0,100,97.2
"Rockstad, Ama","597 Grenard Ter, Pembroke Township IL, 60958",3,38.6,45.3,100,88.8,68.9,84.5,70.2,100,100,53.1,72.8,77.0,56.9,97.8,75.8,75.8,51.0,100,40.6,95.4,96.9,97.3,100,39.4,100,90.3,69.8
"Julca, Omayra","595 Burrows St, Sebring FL, 33870",9,,59.6,75.8,97.8,74.4,100,95.3,88.7,89.2,29.9,35.4,67.1,100,100,78.9,78.3,100,100,35.0,100,57.3,,74.8,62.6,100,79.8,63.6
"Knippers, Hanna","442 Channel St, Dolton IL, 60419",5,50.1,91.9,66.0,81.9,86.0,100,73.0,64.6,100,61.5,51.6,52.2,62.7,56.0,27.7,53.3,78.6,62.4,49.4,61.1,71.4,87.1,18.5,71.6,75.2,100,96.3
"Leopardi, Natali","477 Garcia Ave, Masonville CO, 80541",10,64.5,83.3,61.3,37.1,100,100,100,93.8,78.4,80.8,58.1,52.5,100,85.5,63.7,47.0,58.6,75.9,90.3,62.6,100,100,71.6,57.8,71.7,29.7,40.6
"Brezinka, Desmone","324 Alpine Ter, North Las Vegas NV, 89085",3,100,84.0,77.1,30.1,67.5,72.3,86.5,81.1,88.9,81.6,75.6,100,75.2,60.1,83.3,94.9,93.7,76.7,91.4,100,35.4,72.0,94.3,77.5,55.4,70.5,36.5
"Giulian, II, Estrella","255 Harlan Pl, Morrisville MO, 65710",8,86.7,68.6,63.8,61.8,49.4,63.1,70.6,43.5,60.4,90.8,60.2,100,85.5,76.1,100,58.7,100,92.5,100,93.8,100,91.4,76.0,76.0,100,90.7,100
"Heywood, Flavio","287 Halibut Ct, Caledonia ND, 58219",4,69.8,100,95.4,87.4,86.5,72.3,72.0,71.2,100,77.6,83.1,74.8,100,50.5,100,92.9,84.8,80.7,41.2,100,58.8,21.1,100,95.8,80.9,66.6,97.7
"Galetti, Takeisha","422 Clarkson St, Apt. 58, Kingston TN, 37763",3,83.7,95.2,72.9,28.6,100,75.7,89.0,73.2,100,68.5,82.2,82.8,88.1,59.2,58.4,96.7,100,88.2,29.0,60.2,84.9,94.2,83.5,78.0,87.9,100,99.9
"Salsedo, Tinesha","93 Tocoloma Ave, Danville WA, 99121",9,81.5,45.5,42.5,70.3,65.7,100,85.1,67.9,74.0,79.0,54.5,71.7,100,52.6,94.4,96.8,56.3,78.2,56.7,54.4,86.4,69.3,100,63.6,100,100,100
"Wesloh, Ladon","257 Cleo Rand Ave, Beaverville IL, 60912",9,77.3,40.5,100,100,79.9,83.2,43.5,57.4,66.6,90.2,100,64.9,39.0,65.4,41.1,100,54.4,78.0,82.8,100,89.2,59.5,75.3,58.6,57.1,85.8,100
"Deters, Sten","634 Leona Ter, Badin NC, 28009",1,100,100,74.5,24.6,77.0,54.9,42.1,41.2,36.3,82.4,70.0,76.6,47.1,42.4,85.6,74.0,97.1,59.6,75.3,36.0,88.1,100,73.0,59.2,100,95.1,100
"Liska, Mariaisabel","96 Conkling St, Locust Dale VA, 22948",6,76.4,93.4,70.6,57.7,100,100,19.7,67.5,67.9,52.4,53.3,100,68.7,17.2,100,-1.7,100,100,93.2,79.4,100,89.6,9.7,93.7,100,60.7,84.6
"Deandrade, Lynnell","951 Codman Pl, Marlette MI, 48453",6,53.6,87.7,100,77.0,100,56.2,100,72.5,62.0,70.3,80.7,53.0,100,42.8,100,86.4,50.8,94.0,48.8,100,95.6,59.4,81.3,85.0,70.7,78.8,100
"Bassel, Jr., Joshue","76 College Ter, Stonington IL, 62567",4,79.5,53.9,100,57.0,65.2,87.4,95.6,54.3,87.2,100,85.5,100,51.2,72.9,60.2,94.3,100,66.7,87.8,70.2,71.0,100,78.1,52.6,100,28.8,86.1
"Oksen, Xaviera","648 Oak Grove St, Dallas TX, 75219",2,95.0,82.8,75.0,42.7,73.5,100.0,,100,24.9,63.6,95.2,96.3,100,49.3,66.7,88.2,100,73.2,64.1,100,100,68.4,49.7,63.1,81.5,100,81.7
