Name,Address,Section,Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10,HW 1,HW 2,HW 3,HW 4,HW 5,HW 6,HW 7,HW 8,HW 9,HW 10,HW 11,HW 12,Project 1,Project 2,Exam 1,Exam 2,Exam 3
"Hissong, Byan","331 Jansen St, Anderson SC, 29623",4,100,48.6,17.5,72.1,20.2,100,90.0,80.9,100,79.2,81.8,51.3,100,78.2,100,47.9,49.7,100,47.4,85.4,100,64.2,92.3,94.9,94.2,87.3,100
"Kulcona, Bodie","824 Church St, Poland ME, 4274",3,77.2,14.5,68.1,83.4,32.4,100,100,100,65.8,69.1,98.5,61.5,55.7,41.5,75.5,92.1,100,100,97.8,70.8,100,75.8,47.8,77.7,86.2,15.8,51.7
"Matturro, Esq., Shalaine","657 Tomaso Ct, Norfolk MA, 2056",9,77.7,94.7,82.3,87.2,78.8,45.4,52.1,43.4,60.8,72.3,39.7,98.7,100,100,89.6,100,48.0,71.1,62.2,68.2,69.3,100,78.2,100,100,76.7,83.1
"Noggle, Isolina","375 Anson Pl, Karnes City TX, 78118",5,68.1,70.2,52.0,82.3,79.2,16.4,57.5,61.4,47.4,63.2,63.6,95.3,53.8,27.7,46.7,78.1,100,26.7,100,99.4,85.2,100,77.4,93.0,100,99.9,100
"Jarrel, Dempsey","262 Mckinley Ave, Portland ME, 4103",7,64.8,68.2,75.9,75.4,89.4,73.2,98.3,71.8,64.5,69.1,61.6,68.3,60.4,80.4,60.4,61.9,48.5,72.8,43.9,41.7,49.0,54.9,76.2,92.9,99.1,86.2,56.6
"Pena, Jr., Laramie","828 Clay St, Sequatchie TN, 37374",8,48.6,48.2,70.8,86.9,88.9,100,96.2,59.0,42.9,100,90.4,62.5,82.1,55.0,45.9,68.7,100,87.6,67.4,100,70.5,100,84.1,65.7,80.9,100,43.4
"Ricotta, Raynisha","97 Harper St, Apt. 82, Oklahoma City OK, 73123",1,58.6,85.4,80.6,80.0,93.5,83.1,91.4,98.0,38.9,64.4,100,100,72.7,76.8,25.8,96.7,65.6,47.8,66.1,51.4,88.9,83.5,61.5,66.6,68.1,93.8,97.5
"Quellette, Enjoli","885 43rd Ave, Kingston TN, 37763",4,58.3,-5.4,19.7,46.7,62.0,52.5,83.9,40.4,41.8,100,50.1,69.3,100,56.4,66.1,53.1,88.7,98.8,45.2,57.2,53.1,32.7,70.7,33.9,89.6,62.6,96.9
"Pomo, Esq., Durrell","378 Unnamed 052, Haddam CT, 6438",9,70.6,71.1,42.6,66.7,36.5,78.3,66.3,72.2,100,72.1,93.8,85.0,49.6,86.6,100,100,42.9,14.1,86.2,100,94.7,53.1,100,78.2,77.5,56.7,50.0
"Hibbets, Trimaine","142 Bernard St, Cecilia KY, 42724",10,83.0,73.6,100,73.7,77.2,59.4,85.1,91.1,25.5,73.5,100,93.0,79.9,32.8,83.7,100,100,92.3,49.5,36.3,88.2,65.7,86.9,53.6,100,61.4,70.3
"Athas, Severiano","77 Fort Mason 18, Apt. 41, Couch MO, 65690",6,70.2,60.5,65.4,72.9,79.0,71.7,71.4,15.6,82.7,78.8,29.0,71.0,79.6,67.8,100,100,87.5,73.5,68.9,100,68.5,100,42.7,79.7,100,95.7,64.0
"Leuhring, Timothey","93 Marvel Ct, Branch MI, 49402",6,62.1,97.8,64.0,97.6,81.7,80.0,57.1,100,60.5,28.8,65.5,84.4,49.2,100,100,87.0,69.5,36.1,82.1,97.2,72.3,63.2,63.5,97.2,81.4,61.7,100
"Hendry, Garbiel","978 Aptos Ave, Apt. 21, Braintree MA, 2184",3,58.8,99.1,90.1,100,62.3,75.3,85.1,85.8,53.5,100,81.7,64.1,86.5,90.5,100,100,61.1,90.8,88.2,100,85.9,65.8,12.7,97.9,100,65.9,73.9
"Hollenbeck, Sr., Ewa","294 Hilton St, Apt. 60, Albuquerque NM, 87122",1,86.3,54.7,83.3,64.0,100,85.9,46.9,58.8,24.9,60.2,100,73.2,31.0,77.4,79.9,64.4,46.9,58.1,36.3,42.5,44.8,40.5,69.8,76.0,100,86.6,100
"Sodergren, Nikisha","538 Espanola St, Las Vegas NV, 89164",8,48.2,100,65.9,100,100,79.7,84.1,69.6,100,72.8,100,87.9,88.1,76.7,100,79.5,68.7,33.5,85.1,81.4,35.7,90.9,81.9,49.3,58.7,72.1,100
"Mangum, Britni","138 Ceres St, Ridgecrest CA, 93556",5,81.5,71.0,36.1,57.1,75.1,44.4,56.1,66.1,72.5,66.7,81.0,88.6,32.0,100,68.8,90.3,82.1,85.2,85.7,77.0,84.5,,86.7,10.1,100,100,83.5
"Kerstetter, Kali","13 Bridgeview Way, Birmingham AL, 35289",4,100,89.9,87.4,68.7,38.1,100,42.6,100,68.1,88.8,57.1,82.0,100,94.2,51.9,85.4,63.6,100,76.1,35.9,100,64.1,52.1,56.8,96.9,89.7,100
"Mackenthun, Lashuna","860 Crystal St, Lake Worth FL, 33467",3,77.3,90.2,80.0,100,59.5,82.6,38.1,88.4,90.9,34.4,68.2,93.0,100,51.6,88.6,90.3,100,78.3,86.0,87.3,87.0,66.2,98.4,78.5,48.5,60.7,86.5
"Guz, Irving","517 Worth St, Albuquerque NM, 87110",4,80.4,99.2,100,76.6,100,24.6,31.1,71.3,90.7,86.6,57.3,100,96.4,75.2,53.0,38.6,72.9,75.0,86.3,100,94.8,93.2,92.4,50.4,70.7,82.2,100
"Tirone, Renae","863 Dr Tom Waddell Pl, Delray WV, 26714",9,74.6,45.4,89.6,74.6,100,68.2,38.0,86.7,65.3,100,67.4,71.7,74.1,64.4,74.1,100,100,66.8,71.3,84.0,100,100,63.6,69.6,100,62.3,100
"Olheiser, Perrin","766 Bartlett St, Fairview NC, 28730",7,39.1,98.6,56.1,77.0,95.8,100,100,100,66.8,77.9,86.0,81.3,84.4,81.6,56.7,63.8,73.1,69.9,100,91.0,65.3,69.1,100,100,80.0,82.8,100
"Tipping, Margo","552 Lombard St, Port Saint Lucie FL, 34988",8,43.7,75.1,44.2,61.0,100,72.0,100,97.3,79.7,85.9,73.8,100,76.4,72.6,89.1,29.5,78.9,,76.8,74.4,95.0,39.0,54.8,48.5,36.9,81.4,82.4
"Dieterich, Enrigue","69 Capra Way, Charleston WV, 25392",9,74.5,27.8,87.8,100,100,100,59.3,64.0,50.9,99.9,58.6,99.6,86.4,100,40.8,76.3,77.2,100,38.5,93.3,87.4,43.3,59.3,35.8,60.5,74.2,100
"Gama, Stanely","402 Cerritos Ave, Hartford CT, 6105",2,68.8,100,100,58.3,69.2,40.6,100,100,70.7,56.5,86.0,42.4,100,93.2,100,83.0,78.8,32.5,100,68.4,100,97.3,71.6,86.1,93.9,100,73.5
"Thorner, Jr., Chancie","73 Hwy 101 N On Ramp, Earleville MD, 21919",7,93.4,84.9,47.0,47.0,63.6,65.1,100,54.8,61.4,85.6,78.4,100,69.5,100,84.0,92.5,100,69.7,74.9,77.6,79.6,100,52.6,51.3,100,100,94.2
"Karge, Jr., Payton","964 27th Ave, Wolf Run OH, 43970",9,97.6,42.4,74.0,65.2,100,43.1,100,100,100,57.7,93.0,100,100,74.6,100,49.7,80.0,75.3,72.9,61.3,62.7,27.8,74.8,92.9,100,100,100
"Alter, Sr., Kasey","358 Delta St, Burrel CA, 93607",10,70.4,100,90.4,-3.0,49.5,99.8,99.9,66.5,38.4,86.5,78.1,66.8,88.7,52.4,100,70.4,97.7,78.9,100,57.2,49.8,99.9,43.7,88.9,81.5,100,74.2
"Stoeckert, IV, Albert","362 Unnamed 2, Apt. 47, Emmitsburg MD, 21727",10,44.7,62.7,78.2,73.7,72.7,91.8,94.6,60.1,100,33.9,100,56.6,100,68.7,99.4,81.9,60.7,83.4,89.9,84.9,90.6,98.6,70.2,72.5,100,69.7,100
"Belizaire, Meagen","244 Tucker Ave, Wolcott CT, 6716",6,98.4,57.8,100,70.8,88.4,100,41.7,66.8,20.2,100,92.5,100,71.9,60.3,52.8,99.6,97.5,67.6,100,75.2,80.5,71.6,90.6,74.0,86.4,58.3,64.4
"Bracco, Jr., Burton","795 Waithman Way, Tribune KS, 67879",1,89.4,47.7,58.8,25.0,34.4,60.5,63.6,100,21.1,92.8,87.5,56.3,63.6,74.7,83.5,77.3,88.6,100,48.0,46.5,65.8,73.3,48.6,100,100,78.6,52.9
"Rizzuti, Esq., Daphna","374 Allen St, Apt. 8, Millport NY, 14864",9,61.8,83.9,100,71.1,32.0,54.0,87.3,74.9,86.9,91.8,61.4,92.4,79.4,91.5,27.8,35.5,100,65.0,54.9,80.1,100,55.6,72.5,62.9,100,95.2,100
"Mostowy, Shontelle","219 Bernice Rodgers Way, Cullowhee NC, 28723",1,100,67.5,90.1,91.3,100,50.4,43.5,23.8,28.5,50.4,95.0,76.0,71.2,100,53.0,79.9,100,75.7,61.4,100,100,37.8,79.3,34.3,100,97.1,76.8
"Nachazel, Tyesa","507 Museum Way, Jersey Mills PA, 17739",4,90.2,98.7,88.9,86.6,55.6,75.9,38.8,10.0,72.3,73.6,77.4,50.9,86.1,95.4,100,90.5,60.6,100,98.3,39.5,100,62.8,72.1,51.2,86.5,71.3,78.4
"Kin, Ravon","960 Vista Verde Ct, Hackettstown NJ, 7840",2,95.2,60.5,67.0,95.6,100,87.1,50.7,81.9,27.2,94.2,100,100,74.6,76.0,100,97.7,69.4,80.9,91.2,84.2,100,44.0,100,57.6,96.7,78.8,52.6
"Petersen, Lane","864 Townsend St, Apt. 21, Beltsville MD, 20704",3,87.0,57.1,73.7,99.9,75.4,73.0,100,92.3,35.3,57.4,87.3,51.8,88.2,100,71.9,100,63.0,100,70.8,59.4,97.3,98.9,93.7,96.1,100,100,100
"Nesslein, Shaheed","562 Paul Ave, Coupon PA, 16629",7,69.3,100,24.4,64.8,100,97.0,32.1,66.8,69.7,53.1,59.2,70.4,100,67.3,49.9,96.9,100,90.6,100,100,78.1,76.3,51.0,90.8,53.3,58.5,82.4
"Paskett, Betsey","277 Lulu Aly, Malcom IA, 50157",3,86.8,100,78.7,100,100,75.6,66.0,73.3,16.6,77.9,99.1,45.9,66.9,74.8,71.8,89.0,100,100,68.3,100,87.4,71.1,64.0,43.4,85.0,65.8,100
"Wildridge, II, Aly","218 Bayside Village Pl, Anchorage AK, 99509",8,72.8,87.5,82.9,83.9,100,100,92.1,76.2,42.5,100,65.4,71.0,74.6,46.5,92.8,50.2,100,30.6,100,83.5,100,84.4,43.6,79.2,55.5,42.5,100
"Vlach, Aleem","101 Adele Ct, Redford TX, 79846",5,44.8,41.7,44.5,54.5,32.8,77.7,62.9,46.8,94.8,32.0,54.2,80.2,100,66.5,100,100,43.2,87.3,100,,92.9,58.2,79.8,67.2,66.4,64.9,100
"Whittinghill, Abbey","851 Parnassus Ave, Edison NJ, 8899",4,83.0,86.5,94.9,100,31.5,100,79.6,34.2,43.5,95.1,69.8,61.0,80.2,76.3,46.2,45.1,70.2,58.3,100,31.5,100,97.3,85.4,65.5,81.3,90.6,87.4
"Catenaccio, Terrian","45 Heather Ave, Belvedere Tiburon CA, 94920",7,96.2,33.0,45.8,100,62.6,92.9,58.7,90.4,71.7,80.5,76.2,71.9,68.1,100,85.7,66.0,58.0,74.1,73.7,96.1,57.4,75.9,60.4,100,94.1,50.5,89.9
"Scocca, Dadrian","90 Italy Ave, Brant Rock MA, 2020",10,100,78.3,100,61.4,55.8,46.3,78.3,62.9,81.7,47.2,83.6,100,100,100,62.4,100,65.6,83.3,100,71.2,29.7,89.2,44.4,76.4,100,93.7,88.2
"Alfandre, Leeander","33 Kaplan Ln, Peoria IL, 61615",7,100,47.2,98.4,46.6,93.3,40.8,76.5,47.2,21.9,37.7,100,47.5,49.7,92.3,95.0,56.1,83.1,59.3,91.0,76.6,42.5,,9.0,76.3,100,88.0,49.7
"Bauknight, Tremell","936 Macedonia St, Belle Plaine MN, 56011",6,59.0,73.2,71.1,90.0,92.7,100,50.1,78.1,75.3,84.9,65.4,46.0,96.0,65.7,90.1,60.7,82.4,89.4,51.5,82.3,74.2,44.4,37.9,100,100,85.3,66.6
"Nicolozakes, IV, Chadley","69 Wall Pl, Jacksonville FL, 32208",3,70.9,27.8,44.4,81.5,64.2,34.5,40.9,32.7,66.9,71.3,42.9,66.4,61.3,53.5,44.9,96.6,99.5,44.3,59.7,62.1,90.1,72.7,55.0,48.1,100,7.2,100
"Prindle, IV, Elvira","167 Newburg St, Fort Bragg NC, 28307",4,81.1,69.3,32.8,61.9,62.9,100,85.4,42.8,84.9,77.9,82.2,49.7,100,60.2,75.3,80.6,8.6,77.4,93.4,67.5,100,99.6,33.3,88.3,84.8,63.1,47.8
"Stires, Christine","241 Storey Ave, Apt. 12, West Milford NJ, 7480",9,56.5,100,41.3,86.2,95.4,94.8,100,59.2,73.0,61.3,81.3,77.9,100,95.5,88.8,80.3,79.8,71.4,100,70.5,100,87.9,100,75.8,100,82.7,67.1
"Canida, II, Nori","327 Scott Aly, Apt. 8, Montana Mines WV, 26586",9,67.9,68.2,39.9,100,93.3,66.1,40.5,64.9,47.6,85.5,71.2,97.2,66.2,61.9,77.2,36.1,83.7,76.0,100,100,79.5,41.1,61.2,50.1,87.0,66.5,91.9
"Maxie, General","332 Opal Pl, Littleton NH, 3561",7,52.5,88.4,74.8,92.7,75.2,85.0,44.6,40.9,100,56.1,81.0,58.5,58.6,100,58.8,60.2,67.7,95.5,81.6,75.1,53.3,88.4,77.8,91.6,100,89.9,100
"Noey, Waqas","248 Hiliritas Ave, Spring Lake MN, 56680",10,76.7,72.0,45.0,87.4,46.5,100,51.3,87.5,74.2,68.5,48.0,88.4,54.1,47.2,99.6,85.6,47.9,30.2,97.5,50.4,90.2,78.8,71.0,68.3,63.9,27.9,100
"Bainard, Coren","110 Lucerne St, Darlington MD, 21034",3,44.8,69.8,100,57.8,76.1,100,69.5,86.6,100,100,76.4,100,70.3,44.1,70.7,50.8,100,93.9,69.9,78.9,49.9,38.0,100,63.1,100,100,53.0
"Greenhalge, Meagen","603 Copper Aly, Mount Victory OH, 43340",5,100,72.8,64.0,95.8,58.9,86.8,83.0,53.6,45.8,52.8,100,65.9,39.6,58.0,55.6,68.4,52.3,23.6,97.1,71.4,72.3,52.5,79.2,100,59.1,59.9,100
"Knightstep, Jerin","572 Dorado Ter, Huntington WV, 25721",3,61.9,61.1,41.2,100,100,65.1,41.8,64.9,70.7,100,100,74.9,81.6,100,100,59.5,57.2,36.6,100,100,85.8,91.3,52.0,89.7,11.1,74.9,88.1
"Spirko, Kiya","997 Del Monte St, Farmington MI, 48332",6,76.0,56.3,88.7,45.1,54.0,58.8,55.7,100,77.2,41.9,59.3,100,65.0,92.8,84.2,56.7,100,100,68.6,99.9,71.4,100,53.6,51.1,100,61.1,100
"Wren, Electa","759 Retiro Way, Cornish Flat NH, 3746",1,76.5,32.0,42.4,56.7,73.8,11.6,25.0,56.7,56.6,100,100,73.4,53.4,100,100,29.3,73.5,82.3,85.1,32.9,56.0,67.9,40.4,97.5,93.0,48.5,67.0
"Kenndey, Mason","92 Santa Clara Ave, Liberty Hill TX, 78642",1,90.8,98.2,100,43.8,68.1,51.7,84.6,52.8,47.9,70.4,74.9,72.0,100,100,83.9,85.0,54.0,97.3,100,35.4,52.8,100,73.3,69.6,99.9,100,100
"Wakenight, Branton","331 Terrace Walk, Glasgow KY, 42141",2,52.9,97.6,45.1,73.5,100,32.1,89.4,100,89.5,68.6,81.9,100,75.9,72.7,31.9,63.6,76.5,100,46.5,79.5,52.6,100,100,32.3,67.8,56.3,100
"Kluttz, Carlis","519 Lower Fort Mason St, Southeastern PA, 19398",6,30.4,71.4,74.0,55.1,75.3,91.9,100,49.9,100,96.9,76.5,74.1,83.5,72.0,96.5,62.8,83.7,95.5,88.8,100,36.3,100,34.3,75.9,96.0,80.3,68.0
"Falcone, Jr., Marenda","747 Arago St, Luzerne IA, 52257",1,90.0,100,81.0,55.6,100,74.9,100,79.7,77.6,66.0,100,63.6,100.0,88.1,55.3,50.4,83.9,100,62.5,100,13.9,67.1,71.4,100,100,48.5,64.3
"Yeager, Leinani","36 14th Ti St, Kentfield CA, 94914",4,98.7,100,61.0,59.8,36.3,38.1,100,100,88.4,25.2,67.9,83.8,82.5,49.8,63.2,100,59.6,89.7,58.5,19.0,69.0,78.4,74.2,59.5,86.1,55.5,27.0
"Grinnan, Lekita","786 Natick St, Fpo AE, 9844",10,58.5,100,84.6,74.3,69.1,100,75.3,72.9,100,68.0,63.6,71.1,100,97.9,76.9,99.5,68.1,83.7,100,100,59.8,100,62.3,-10.2,100,72.3,100
"Perniciaro, Tairra","130 Sharon St, Birchleaf VA, 24220",7,81.4,66.6,51.9,32.0,81.6,100,79.0,91.3,86.6,100,28.0,68.1,60.9,79.6,73.8,55.8,90.4,100,62.5,100,66.3,100,93.0,61.8,100,51.2,53.6
"Pogorelc, Terilyn","330 Sea View Ter, Waialua HI, 96791",9,50.8,72.6,85.4,81.0,83.5,100,95.7,52.0,23.8,26.1,100,76.0,90.6,68.0,49.1,84.0,95.2,64.3,91.7,100,95.0,83.4,59.4,100,65.4,95.1,79.9
"Guilmette, Lanetra","962 Conrad St, Richview IL, 62877",1,78.2,100,75.7,75.4,39.5,77.3,88.9,48.1,63.3,87.9,76.5,90.7,100,98.6,72.6,68.9,70.3,78.4,81.8,89.1,56.5,52.3,36.1,58.7,100,79.5,55.5
"Manche, Jalayne","562 Genebern Way, Lees Summit MO, 64081",10,21.1,85.2,84.7,72.4,30.2,89.9,91.4,71.7,98.6,77.8,100,76.1,59.6,96.4,44.3,48.6,65.9,85.4,83.2,59.5,85.2,73.9,47.0,64.0,56.4,53.1,68.3
"Openshaw, Phoenicia","434 Paraiso Pl, Lovington IL, 61937",4,26.7,77.1,53.2,41.2,63.8,71.0,100,83.3,69.0,66.5,60.6,68.9,84.1,82.4,100,48.6,97.2,92.5,51.6,55.3,83.5,74.5,89.3,63.6,98.8,100,42.8
"Sicinski, III, Donella","834 Lottie Bennett Ln, Winchester Center CT, 6094",1,58.6,76.8,99.2,58.1,51.8,90.0,100,73.6,72.5,74.9,92.9,45.1,43.0,95.3,100,82.6,100,100,64.8,83.5,51.0,79.6,59.6,75.6,100,100,72.5
"Mccown, Samarra","275 Weston Ct, Oklahoma City OK, 73159",7,77.4,77.3,86.5,63.4,97.1,100,52.3,100,48.3,95.6,60.5,99.2,85.3,62.7,100,78.6,94.3,56.6,,62.8,79.5,100,76.1,59.5,95.3,88.5,100
"Parrotta, Buster","57 Saint Charles Ave, Pine Valley UT, 84781",10,75.1,76.3,84.7,100,58.7,40.5,57.3,79.7,100,83.1,99.0,47.6,71.3,100,68.1,42.2,100,100,45.0,75.0,46.9,100,50.5,75.7,17.1,100,73.2
"Zmich, Randee","394 Bonview St, Moody ME, 4054",4,64.4,71.1,97.6,52.6,42.6,97.6,38.9,97.0,95.7,50.9,59.2,86.1,94.4,86.7,100,54.8,100,94.0,56.6,57.6,58.2,97.8,71.7,53.4,82.3,89.8,58.3
"Brosig, Demetrice","367 Ellis St, La Grande OR, 97850",2,79.8,71.1,85.1,87.4,71.9,64.2,71.7,48.4,73.6,80.9,59.8,91.3,54.6,100.0,39.8,82.5,81.5,73.2,100,97.5,53.6,72.8,56.6,43.4,100,61.8,88.5
"Miele, Margaretta","870 Galewood Cir, Cuttyhunk MA, 2713",8,80.5,48.5,83.2,65.6,73.4,100,58.0,89.1,35.5,65.8,80.6,84.8,76.8,53.0,94.7,91.1,60.4,100,91.1,22.1,70.4,55.4,39.2,32.0,63.1,82.7,72.2
"Aruizu, Lindie","605 Fella Pl, Allenport PA, 15412",8,89.9,100,43.8,58.7,43.9,66.4,61.8,85.5,75.3,49.4,55.5,71.7,99.8,99.0,34.5,100,79.2,93.9,87.3,100,73.7,92.8,79.7,40.5,75.5,94.9,59.7
"Soapes, Roby","146 19th St, Shelby MI, 49455",5,100,42.5,32.0,42.6,85.3,69.5,79.5,80.4,72.8,100,93.5,76.0,100,79.1,99.4,73.8,65.0,100,76.3,100,100,63.5,54.0,16.1,100,85.4,82.7
"Aasen, Niyoka","653 Princeton St, Holmes Beach FL, 34218",1,58.2,63.2,74.2,51.2,77.1,77.2,48.5,72.7,81.3,58.8,90.1,58.9,100,98.8,91.8,90.4,76.5,64.5,26.1,56.2,72.2,75.1,76.2,48.2,82.3,95.4,100
"Gerst, Yahaira","954 Rosemont Pl, Jerusalem AR, 72080",2,93.9,99.2,87.9,70.2,100,100,79.9,100,58.3,97.4,61.9,65.8,100,67.1,100,42.1,91.1,40.5,88.8,55.4,61.9,78.1,67.7,70.3,100,41.0,35.7
"Bone, Robie","843 Eugenia Ave, Oakland CA, 94601",2,83.8,77.2,52.5,6.5,55.7,61.0,92.8,52.0,97.7,100,93.6,61.9,61.1,47.0,62.5,100,90.4,100,98.3,94.9,43.4,91.2,36.9,52.3,53.6,76.6,100
"Champey, Shirah","141 Lunado Way, Jericho NY, 11753",2,88.6,65.4,96.5,84.1,73.9,58.3,38.7,70.7,100,46.5,85.1,44.2,43.1,100,100,55.4,100,100,90.9,49.4,63.5,77.4,45.7,22.1,100,78.6,90.2
"Cerrillo, Sr., Maribell","96 Holyoke St, Severn NC, 27877",5,76.7,93.6,78.1,95.9,85.1,43.0,78.8,90.8,49.9,98.7,65.3,70.8,100,100,57.1,93.8,45.8,100,45.1,77.9,97.2,83.5,52.2,21.1,88.8,100,60.1
"Bakko, Shakoya","404 Dr Carlton B Goodlett Pl, Apt. 54, Saint Cloud FL, 34771",9,82.1,41.4,49.7,62.3,43.6,78.0,100,64.1,100,19.7,96.5,100,58.2,100,100,91.7,70.1,87.0,100,100,42.4,73.3,33.0,83.8,90.4,49.6,71.5
"Delap, Sachiko","448 Cerritos Ave, Offerle KS, 67563",9,27.3,76.8,53.8,67.1,45.2,76.7,61.9,40.3,47.5,65.2,49.4,29.4,96.4,85.1,84.1,86.3,83.8,84.3,67.7,40.2,56.1,43.4,85.3,100,94.3,74.4,31.8
"Brackbill, II, Milisa","194 Higuera Ave, Victoria TX, 77903",2,46.9,69.5,48.1,65.1,85.2,100,68.7,93.8,100,54.9,98.9,82.4,80.0,93.3,46.8,60.0,91.1,91.4,78.1,85.2,50.1,72.2,99.0,86.7,97.0,65.6,100
"Krukowski, Houa","720 San Felipe Ave, Beaverton OR, 97075",5,100,77.9,47.6,69.0,90.7,57.5,88.9,100,65.8,62.7,69.1,93.3,71.7,71.7,55.4,43.0,73.2,75.7,76.2,46.1,-10.7,78.1,100,73.7,100,97.4,87.1
"Pough, Keelia","443 Stanford St, Philadelphia PA, 19196",8,58.0,62.1,82.2,49.6,78.5,69.2,96.8,65.0,75.4,88.0,53.4,100,100,99.2,62.2,42.1,77.9,100,91.6,35.2,100,68.5,78.9,90.6,100,100,100
